Unnamed: 0,age,Audio_file_name,Audio_file_path,Image_file_path
3250,40s,1040_TSI_DIS_XX.wav,/home/ubuntu/capstone/AudioWAV/1040_TSI_DIS_XX.wav,/home/ubuntu/capstone/Data/age//mel_spectrograms//1040_TSI_DIS_XX.wav.jpg
866,30s,1011_TAI_DIS_XX.wav,/home/ubuntu/capstone/AudioWAV/1011_TAI_DIS_XX.wav,/home/ubuntu/capstone/Data/age//mel_spectrograms//1011_TAI_DIS_XX.wav.jpg
7261,<30s,1089_TIE_DIS_XX.wav,/home/ubuntu/capstone/AudioWAV/1089_TIE_DIS_XX.wav,/home/ubuntu/capstone/Data/age//mel_spectrograms//1089_TIE_DIS_XX.wav.jpg
2039,30s,1026_IEO_ANG_MD.wav,/home/ubuntu/capstone/AudioWAV/1026_IEO_ANG_MD.wav,/home/ubuntu/capstone/Data/age//mel_spectrograms//1026_IEO_ANG_MD.wav.jpg
4270,30s,1053_IOM_HAP_XX.wav,/home/ubuntu/capstone/AudioWAV/1053_IOM_HAP_XX.wav,/home/ubuntu/capstone/Data/age//mel_spectrograms//1053_IOM_HAP_XX.wav.jpg
5232,30s,1065_DFA_HAP_XX.wav,/home/ubuntu/capstone/AudioWAV/1065_DFA_HAP_XX.wav,/home/ubuntu/capstone/Data/age//mel_spectrograms//1065_DFA_HAP_XX.wav.jpg
2407,40s,1030_IWW_FEA_XX.wav,/home/ubuntu/capstone/AudioWAV/1030_IWW_FEA_XX.wav,/home/ubuntu/capstone/Data/age//mel_spectrograms//1030_IWW_FEA_XX.wav.jpg
3416,30s,1042_TSI_HAP_XX.wav,/home/ubuntu/capstone/AudioWAV/1042_TSI_HAP_XX.wav,/home/ubuntu/capstone/Data/age//mel_spectrograms//1042_TSI_HAP_XX.wav.jpg
1419,<30s,1018_ITS_NEU_XX.wav,/home/ubuntu/capstone/AudioWAV/1018_ITS_NEU_XX.wav,/home/ubuntu/capstone/Data/age//mel_spectrograms//1018_ITS_NEU_XX.wav.jpg
5392,<30s,1066_WSI_SAD_XX.wav,/home/ubuntu/capstone/AudioWAV/1066_WSI_SAD_XX.wav,/home/ubuntu/capstone/Data/age//mel_spectrograms//1066_WSI_SAD_XX.wav.jpg
7397,<30s,1091_ITS_HAP_XX.wav,/home/ubuntu/capstone/AudioWAV/1091_ITS_HAP_XX.wav,/home/ubuntu/capstone/Data/age//mel_spectrograms//1091_ITS_HAP_XX.wav.jpg
4757,<30s,1059_IEO_SAD_LO.wav,/home/ubuntu/capstone/AudioWAV/1059_IEO_SAD_LO.wav,/home/ubuntu/capstone/Data/age//mel_spectrograms//1059_IEO_SAD_LO.wav.jpg
1988,40s,1025_ITS_SAD_XX.wav,/home/ubuntu/capstone/AudioWAV/1025_ITS_SAD_XX.wav,/home/ubuntu/capstone/Data/age//mel_spectrograms//1025_ITS_SAD_XX.wav.jpg
1205,30s,1015_TSI_ANG_XX.wav,/home/ubuntu/capstone/AudioWAV/1015_TSI_ANG_XX.wav,/home/ubuntu/capstone/Data/age//mel_spectrograms//1015_TSI_ANG_XX.wav.jpg
629,40s,1008_MTI_NEU_XX.wav,/home/ubuntu/capstone/AudioWAV/1008_MTI_NEU_XX.wav,/home/ubuntu/capstone/Data/age//mel_spectrograms//1008_MTI_NEU_XX.wav.jpg
5870,30s,1072_TIE_HAP_XX.wav,/home/ubuntu/capstone/AudioWAV/1072_TIE_HAP_XX.wav,/home/ubuntu/capstone/Data/age//mel_spectrograms//1072_TIE_HAP_XX.wav.jpg
