,ActorID,Age,Sex,Race,Ethnicity,File Name,emotion,Emotion Level,Sentence,path
0,1001,51,Male,Caucasian,Not Hispanic,1001_DFA_ANG_XX.wav,ANG,XX,DFA,/content/drive/My Drive/Speech Detection Data/AudioWAV/1001_DFA_ANG_XX.wav
1,1001,51,Male,Caucasian,Not Hispanic,1001_DFA_DIS_XX.wav,DIS,XX,DFA,/content/drive/My Drive/Speech Detection Data/AudioWAV/1001_DFA_DIS_XX.wav
2,1001,51,Male,Caucasian,Not Hispanic,1001_DFA_FEA_XX.wav,FEA,XX,DFA,/content/drive/My Drive/Speech Detection Data/AudioWAV/1001_DFA_FEA_XX.wav
3,1001,51,Male,Caucasian,Not Hispanic,1001_DFA_HAP_XX.wav,HAP,XX,DFA,/content/drive/My Drive/Speech Detection Data/AudioWAV/1001_DFA_HAP_XX.wav
4,1001,51,Male,Caucasian,Not Hispanic,1001_DFA_NEU_XX.wav,NEU,XX,DFA,/content/drive/My Drive/Speech Detection Data/AudioWAV/1001_DFA_NEU_XX.wav
5,1001,51,Male,Caucasian,Not Hispanic,1001_DFA_SAD_XX.wav,SAD,XX,DFA,/content/drive/My Drive/Speech Detection Data/AudioWAV/1001_DFA_SAD_XX.wav
6,1001,51,Male,Caucasian,Not Hispanic,1001_IEO_ANG_HI.wav,ANG,HI,IEO,/content/drive/My Drive/Speech Detection Data/AudioWAV/1001_IEO_ANG_HI.wav
7,1001,51,Male,Caucasian,Not Hispanic,1001_IEO_ANG_LO.wav,ANG,LO,IEO,/content/drive/My Drive/Speech Detection Data/AudioWAV/1001_IEO_ANG_LO.wav
8,1001,51,Male,Caucasian,Not Hispanic,1001_IEO_ANG_MD.wav,ANG,MD,IEO,/content/drive/My Drive/Speech Detection Data/AudioWAV/1001_IEO_ANG_MD.wav
9,1001,51,Male,Caucasian,Not Hispanic,1001_IEO_DIS_HI.wav,DIS,HI,IEO,/content/drive/My Drive/Speech Detection Data/AudioWAV/1001_IEO_DIS_HI.wav
10,1001,51,Male,Caucasian,Not Hispanic,1001_IEO_DIS_LO.wav,DIS,LO,IEO,/content/drive/My Drive/Speech Detection Data/AudioWAV/1001_IEO_DIS_LO.wav
11,1001,51,Male,Caucasian,Not Hispanic,1001_IEO_DIS_MD.wav,DIS,MD,IEO,/content/drive/My Drive/Speech Detection Data/AudioWAV/1001_IEO_DIS_MD.wav
12,1001,51,Male,Caucasian,Not Hispanic,1001_IEO_FEA_HI.wav,FEA,HI,IEO,/content/drive/My Drive/Speech Detection Data/AudioWAV/1001_IEO_FEA_HI.wav
