sex,Audio_file_name,Audio_file_path,Image_file_name,Image_file_path
Female,1029_WSI_ANG_XX.wav,/home/ubuntu/capstone/Data/AudioWAV/1029_WSI_ANG_XX.wav,1029_WSI_ANG_XX.wav_1024_512_128.jpg,/home/ubuntu/capstone/Data/Mel_Spectrograms/1029_WSI_ANG_XX.wav_1024_512_128.jpg
Male,1090_IEO_DIS_LO.wav,/home/ubuntu/capstone/Data/AudioWAV/1090_IEO_DIS_LO.wav,1090_IEO_DIS_LO.wav_1024_512_128.jpg,/home/ubuntu/capstone/Data/Mel_Spectrograms/1090_IEO_DIS_LO.wav_1024_512_128.jpg
Female,1082_ITS_NEU_XX.wav,/home/ubuntu/capstone/Data/AudioWAV/1082_ITS_NEU_XX.wav,1082_ITS_NEU_XX.wav_1024_512_128.jpg,/home/ubuntu/capstone/Data/Mel_Spectrograms/1082_ITS_NEU_XX.wav_1024_512_128.jpg
Male,1015_IEO_ANG_HI.wav,/home/ubuntu/capstone/Data/AudioWAV/1015_IEO_ANG_HI.wav,1015_IEO_ANG_HI.wav_1024_512_128.jpg,/home/ubuntu/capstone/Data/Mel_Spectrograms/1015_IEO_ANG_HI.wav_1024_512_128.jpg
Female,1043_DFA_ANG_XX.wav,/home/ubuntu/capstone/Data/AudioWAV/1043_DFA_ANG_XX.wav,1043_DFA_ANG_XX.wav_1024_512_128.jpg,/home/ubuntu/capstone/Data/Mel_Spectrograms/1043_DFA_ANG_XX.wav_1024_512_128.jpg
Female,1079_IWL_FEA_XX.wav,/home/ubuntu/capstone/Data/AudioWAV/1079_IWL_FEA_XX.wav,1079_IWL_FEA_XX.wav_1024_512_128.jpg,/home/ubuntu/capstone/Data/Mel_Spectrograms/1079_IWL_FEA_XX.wav_1024_512_128.jpg
Male,1034_MTI_FEA_XX.wav,/home/ubuntu/capstone/Data/AudioWAV/1034_MTI_FEA_XX.wav,1034_MTI_FEA_XX.wav_1024_512_128.jpg,/home/ubuntu/capstone/Data/Mel_Spectrograms/1034_MTI_FEA_XX.wav_1024_512_128.jpg
Female,1089_ITS_ANG_XX.wav,/home/ubuntu/capstone/Data/AudioWAV/1089_ITS_ANG_XX.wav,1089_ITS_ANG_XX.wav_1024_512_128.jpg,/home/ubuntu/capstone/Data/Mel_Spectrograms/1089_ITS_ANG_XX.wav_1024_512_128.jpg
Male,1086_IEO_DIS_LO.wav,/home/ubuntu/capstone/Data/AudioWAV/1086_IEO_DIS_LO.wav,1086_IEO_DIS_LO.wav_1024_512_128.jpg,/home/ubuntu/capstone/Data/Mel_Spectrograms/1086_IEO_DIS_LO.wav_1024_512_128.jpg
Female,1053_IWL_FEA_XX.wav,/home/ubuntu/capstone/Data/AudioWAV/1053_IWL_FEA_XX.wav,1053_IWL_FEA_XX.wav_1024_512_128.jpg,/home/ubuntu/capstone/Data/Mel_Spectrograms/1053_IWL_FEA_XX.wav_1024_512_128.jpg
Male,1033_ITH_FEA_XX.wav,/home/ubuntu/capstone/Data/AudioWAV/1033_ITH_FEA_XX.wav,1033_ITH_FEA_XX.wav_1024_512_128.jpg,/home/ubuntu/capstone/Data/Mel_Spectrograms/1033_ITH_FEA_XX.wav_1024_512_128.jpg
