,File Name,emotion,audio_path,image_name
0,1044_DFA_FEA_XX.wav,FEA,AudioWAV/1044_DFA_FEA_XX.wav,1044_DFA_FEA_XX.wav.jpg
1,1049_IEO_HAP_LO.wav,HAP,AudioWAV/1049_IEO_HAP_LO.wav,1049_IEO_HAP_LO.wav.jpg
2,1028_TSI_ANG_XX.wav,ANG,AudioWAV/1028_TSI_ANG_XX.wav,1028_TSI_ANG_XX.wav.jpg
3,1074_IWL_FEA_XX.wav,FEA,AudioWAV/1074_IWL_FEA_XX.wav,1074_IWL_FEA_XX.wav.jpg
4,1080_IWW_HAP_XX.wav,HAP,AudioWAV/1080_IWW_HAP_XX.wav,1080_IWW_HAP_XX.wav.jpg
5,1070_TIE_HAP_XX.wav,HAP,AudioWAV/1070_TIE_HAP_XX.wav,1070_TIE_HAP_XX.wav.jpg
6,1014_IOM_FEA_XX.wav,FEA,AudioWAV/1014_IOM_FEA_XX.wav,1014_IOM_FEA_XX.wav.jpg
7,1024_MTI_HAP_XX.wav,HAP,AudioWAV/1024_MTI_HAP_XX.wav,1024_MTI_HAP_XX.wav.jpg
8,1090_ITS_NEU_XX.wav,NEU,AudioWAV/1090_ITS_NEU_XX.wav,1090_ITS_NEU_XX.wav.jpg
9,1049_ITH_ANG_XX.wav,ANG,AudioWAV/1049_ITH_ANG_XX.wav,1049_ITH_ANG_XX.wav.jpg
10,1087_IWW_NEU_XX.wav,NEU,AudioWAV/1087_IWW_NEU_XX.wav,1087_IWW_NEU_XX.wav.jpg
11,1021_TAI_DIS_XX.wav,DIS,AudioWAV/1021_TAI_DIS_XX.wav,1021_TAI_DIS_XX.wav.jpg
12,1014_IWW_DIS_XX.wav,DIS,AudioWAV/1014_IWW_DIS_XX.wav,1014_IWW_DIS_XX.wav.jpg
13,1091_ITH_ANG_XX.wav,ANG,AudioWAV/1091_ITH_ANG_XX.wav,1091_ITH_ANG_XX.wav.jpg
14,1003_IEO_NEU_XX.wav,NEU,AudioWAV/1003_IEO_NEU_XX.wav,1003_IEO_NEU_XX.wav.jpg
15,1058_IEO_DIS_MD.wav,DIS,AudioWAV/1058_IEO_DIS_MD.wav,1058_IEO_DIS_MD.wav.jpg
16,1068_ITH_DIS_XX.wav,DIS,AudioWAV/1068_ITH_DIS_XX.wav,1068_ITH_DIS_XX.wav.jpg
17,1038_IEO_HAP_MD.wav,HAP,AudioWAV/1038_IEO_HAP_MD.wav,1038_IEO_HAP_MD.wav.jpg
18,1075_IWL_DIS_XX.wav,DIS,AudioWAV/1075_IWL_DIS_XX.wav,1075_IWL_DIS_XX.wav.jpg
19,1054_TAI_NEU_XX.wav,NEU,AudioWAV/1054_TAI_NEU_XX.wav,1054_TAI_NEU_XX.wav.jpg
20,1018_ITH_ANG_XX.wav,ANG,AudioWAV/1018_ITH_ANG_XX.wav,1018_ITH_ANG_XX.wav.jpg
21,1025_IWL_DIS_XX.wav,DIS,AudioWAV/1025_IWL_DIS_XX.wav,1025_IWL_DIS_XX.wav.jpg
22,1064_IWW_ANG_XX.wav,ANG,AudioWAV/1064_IWW_ANG_XX.wav,1064_IWW_ANG_XX.wav.jpg
23,1028_ITH_FEA_XX.wav,FEA,AudioWAV/1028_ITH_FEA_XX.wav,1028_ITH_FEA_XX.wav.jpg
24,1011_IEO_SAD_HI.wav,SAD,AudioWAV/1011_IEO_SAD_HI.wav,1011_IEO_SAD_HI.wav.jpg
25,1058_TIE_ANG_XX.wav,ANG,AudioWAV/1058_TIE_ANG_XX.wav,1058_TIE_ANG_XX.wav.jpg
26,1061_ITH_DIS_XX.wav,DIS,AudioWAV/1061_ITH_DIS_XX.wav,1061_ITH_DIS_XX.wav.jpg
27,1007_TSI_FEA_XX.wav,FEA,AudioWAV/1007_TSI_FEA_XX.wav,1007_TSI_FEA_XX.wav.jpg
28,1044_TSI_ANG_XX.wav,ANG,AudioWAV/1044_TSI_ANG_XX.wav,1044_TSI_ANG_XX.wav.jpg
29,1043_TAI_NEU_XX.wav,NEU,AudioWAV/1043_TAI_NEU_XX.wav,1043_TAI_NEU_XX.wav.jpg
30,1035_DFA_SAD_XX.wav,SAD,AudioWAV/1035_DFA_SAD_XX.wav,1035_DFA_SAD_XX.wav.jpg
31,1069_TSI_NEU_XX.wav,NEU,AudioWAV/1069_TSI_NEU_XX.wav,1069_TSI_NEU_XX.wav.jpg
32,1065_IWW_DIS_XX.wav,DIS,AudioWAV/1065_IWW_DIS_XX.wav,1065_IWW_DIS_XX.wav.jpg
33,1024_IEO_HAP_LO.wav,HAP,AudioWAV/1024_IEO_HAP_LO.wav,1024_IEO_HAP_LO.wav.jpg
34,1011_IWW_NEU_XX.wav,NEU,AudioWAV/1011_IWW_NEU_XX.wav,1011_IWW_NEU_XX.wav.jpg
35,1009_WSI_NEU_XX.wav,NEU,AudioWAV/1009_WSI_NEU_XX.wav,1009_WSI_NEU_XX.wav.jpg
36,1032_ITH_FEA_XX.wav,FEA,AudioWAV/1032_ITH_FEA_XX.wav,1032_ITH_FEA_XX.wav.jpg
37,1002_IEO_DIS_LO.wav,DIS,AudioWAV/1002_IEO_DIS_LO.wav,1002_IEO_DIS_LO.wav.jpg
38,1011_TSI_NEU_XX.wav,NEU,AudioWAV/1011_TSI_NEU_XX.wav,1011_TSI_NEU_XX.wav.jpg
39,1042_ITH_HAP_XX.wav,HAP,AudioWAV/1042_ITH_HAP_XX.wav,1042_ITH_HAP_XX.wav.jpg
40,1078_DFA_DIS_XX.wav,DIS,AudioWAV/1078_DFA_DIS_XX.wav,1078_DFA_DIS_XX.wav.jpg
41,1060_IWW_DIS_XX.wav,DIS,AudioWAV/1060_IWW_DIS_XX.wav,1060_IWW_DIS_XX.wav.jpg
42,1064_IWL_NEU_XX.wav,NEU,AudioWAV/1064_IWL_NEU_XX.wav,1064_IWL_NEU_XX.wav.jpg
43,1017_TAI_FEA_XX.wav,FEA,AudioWAV/1017_TAI_FEA_XX.wav,1017_TAI_FEA_XX.wav.jpg
44,1052_IEO_NEU_XX.wav,NEU,AudioWAV/1052_IEO_NEU_XX.wav,1052_IEO_NEU_XX.wav.jpg
45,1059_IWL_ANG_XX.wav,ANG,AudioWAV/1059_IWL_ANG_XX.wav,1059_IWL_ANG_XX.wav.jpg
46,1072_TIE_SAD_XX.wav,SAD,AudioWAV/1072_TIE_SAD_XX.wav,1072_TIE_SAD_XX.wav.jpg
47,1063_IWL_DIS_XX.wav,DIS,AudioWAV/1063_IWL_DIS_XX.wav,1063_IWL_DIS_XX.wav.jpg
48,1070_TIE_ANG_XX.wav,ANG,AudioWAV/1070_TIE_ANG_XX.wav,1070_TIE_ANG_XX.wav.jpg
49,1014_MTI_ANG_XX.wav,ANG,AudioWAV/1014_MTI_ANG_XX.wav,1014_MTI_ANG_XX.wav.jpg
50,1070_MTI_FEA_XX.wav,FEA,AudioWAV/1070_MTI_FEA_XX.wav,1070_MTI_FEA_XX.wav.jpg
51,1077_IOM_FEA_XX.wav,FEA,AudioWAV/1077_IOM_FEA_XX.wav,1077_IOM_FEA_XX.wav.jpg
52,1072_WSI_HAP_XX.wav,HAP,AudioWAV/1072_WSI_HAP_XX.wav,1072_WSI_HAP_XX.wav.jpg
53,1084_TAI_ANG_XX.wav,ANG,AudioWAV/1084_TAI_ANG_XX.wav,1084_TAI_ANG_XX.wav.jpg
54,1065_IEO_DIS_MD.wav,DIS,AudioWAV/1065_IEO_DIS_MD.wav,1065_IEO_DIS_MD.wav.jpg
55,1003_IWL_DIS_XX.wav,DIS,AudioWAV/1003_IWL_DIS_XX.wav,1003_IWL_DIS_XX.wav.jpg
56,1018_TAI_FEA_XX.wav,FEA,AudioWAV/1018_TAI_FEA_XX.wav,1018_TAI_FEA_XX.wav.jpg
57,1027_ITS_DIS_XX.wav,DIS,AudioWAV/1027_ITS_DIS_XX.wav,1027_ITS_DIS_XX.wav.jpg
58,1021_IEO_HAP_MD.wav,HAP,AudioWAV/1021_IEO_HAP_MD.wav,1021_IEO_HAP_MD.wav.jpg
59,1082_ITH_ANG_XX.wav,ANG,AudioWAV/1082_ITH_ANG_XX.wav,1082_ITH_ANG_XX.wav.jpg
60,1064_IWW_HAP_XX.wav,HAP,AudioWAV/1064_IWW_HAP_XX.wav,1064_IWW_HAP_XX.wav.jpg
61,1014_IOM_NEU_XX.wav,NEU,AudioWAV/1014_IOM_NEU_XX.wav,1014_IOM_NEU_XX.wav.jpg
