,File Name,path,Sex,image_name
0,1002_TIE_ANG_XX.wav,/content/drive/My Drive/Speech Detection Data/AudioWAV/1002_TIE_ANG_XX.wav,Female,1002_TIE_ANG_XX.wav.jpg
1,1007_DFA_HAP_XX.wav,/content/drive/My Drive/Speech Detection Data/AudioWAV/1007_DFA_HAP_XX.wav,Female,1007_DFA_HAP_XX.wav.jpg
2,1071_IWL_DIS_XX.wav,/content/drive/My Drive/Speech Detection Data/AudioWAV/1071_IWL_DIS_XX.wav,Male,1071_IWL_DIS_XX.wav.jpg
3,1004_MTI_ANG_XX.wav,/content/drive/My Drive/Speech Detection Data/AudioWAV/1004_MTI_ANG_XX.wav,Female,1004_MTI_ANG_XX.wav.jpg
4,1016_IOM_FEA_XX.wav,/content/drive/My Drive/Speech Detection Data/AudioWAV/1016_IOM_FEA_XX.wav,Male,1016_IOM_FEA_XX.wav.jpg
5,1088_IEO_FEA_MD.wav,/content/drive/My Drive/Speech Detection Data/AudioWAV/1088_IEO_FEA_MD.wav,Male,1088_IEO_FEA_MD.wav.jpg
6,1071_WSI_FEA_XX.wav,/content/drive/My Drive/Speech Detection Data/AudioWAV/1071_WSI_FEA_XX.wav,Male,1071_WSI_FEA_XX.wav.jpg
7,1091_TAI_HAP_XX.wav,/content/drive/My Drive/Speech Detection Data/AudioWAV/1091_TAI_HAP_XX.wav,Female,1091_TAI_HAP_XX.wav.jpg
8,1064_TIE_HAP_XX.wav,/content/drive/My Drive/Speech Detection Data/AudioWAV/1064_TIE_HAP_XX.wav,Male,1064_TIE_HAP_XX.wav.jpg
9,1080_MTI_SAD_XX.wav,/content/drive/My Drive/Speech Detection Data/AudioWAV/1080_MTI_SAD_XX.wav,Male,1080_MTI_SAD_XX.wav.jpg
10,1065_DFA_FEA_XX.wav,/content/drive/My Drive/Speech Detection Data/AudioWAV/1065_DFA_FEA_XX.wav,Male,1065_DFA_FEA_XX.wav.jpg
11,1085_IEO_DIS_MD.wav,/content/drive/My Drive/Speech Detection Data/AudioWAV/1085_IEO_DIS_MD.wav,Male,1085_IEO_DIS_MD.wav.jpg
12,1017_IWW_NEU_XX.wav,/content/drive/My Drive/Speech Detection Data/AudioWAV/1017_IWW_NEU_XX.wav,Male,1017_IWW_NEU_XX.wav.jpg
13,1025_IWL_NEU_XX.wav,/content/drive/My Drive/Speech Detection Data/AudioWAV/1025_IWL_NEU_XX.wav,Female,1025_IWL_NEU_XX.wav.jpg
14,1019_IEO_HAP_MD.wav,/content/drive/My Drive/Speech Detection Data/AudioWAV/1019_IEO_HAP_MD.wav,Male,1019_IEO_HAP_MD.wav.jpg
15,1047_IWL_HAP_XX.wav,/content/drive/My Drive/Speech Detection Data/AudioWAV/1047_IWL_HAP_XX.wav,Female,1047_IWL_HAP_XX.wav.jpg
16,1089_WSI_DIS_XX.wav,/content/drive/My Drive/Speech Detection Data/AudioWAV/1089_WSI_DIS_XX.wav,Female,1089_WSI_DIS_XX.wav.jpg
